country,iso_alpha,continent
Afghanistan,AFG,Asia
Åland Islands,ALA,Europe
Albania,ALB,Europe
Algeria,DZA,Africa
American Samoa,ASM,Oceania
Andorra,AND,Europe
Angola,AGO,Africa
Anguilla,AIA,North America
Antarctica,ATA,Antarctica
Antigua and Barbuda,ATG,North America
Argentina,ARG,South America
Armenia,ARM,Asia
Aruba,ABW,North America
Australia,AUS,Oceania
Austria,AUT,Europe
Azerbaijan,AZE,Asia
Bahamas,BHS,North America
Bahrain,BHR,Asia
Bangladesh,BGD,Asia
Barbados,BRB,North America
Belarus,BLR,Europe
Belgium,BEL,Europe
Belize,BLZ,North America
Benin,BEN,Africa
Bermuda,BMU,North America
Bhutan,BTN,Asia
Bolivia (Plurinational State of),BOL,South America
"Bonaire, Sint Eustatius and Saba",BES,North America
Bosnia and Herzegovina,BIH,Europe
Botswana,BWA,Africa
Bouvet Island,BVT,South America
Brazil,BRA,South America
British Indian Ocean Territory,IOT,Africa
British Virgin Islands,VGB,North America
Brunei Darussalam,BRN,Asia
Bulgaria,BGR,Europe
Burkina Faso,BFA,Africa
Burundi,BDI,Africa
Cabo Verde,CPV,Africa
Cambodia,KHM,Asia
Cameroon,CMR,Africa
Canada,CAN,North America
Cayman Islands,CYM,North America
Central African Republic,CAF,Africa
Chad,TCD,Africa
Chile,CHL,South America
China,CHN,Asia
"China, Hong Kong Special Administrative Region",HKG,Asia
"China, Macao Special Administrative Region",MAC,Asia
Christmas Island,CXR,Oceania
Cocos (Keeling) Islands,CCK,Oceania
Colombia,COL,South America
Comoros,COM,Africa
Congo,COG,Africa
Cook Islands,COK,Oceania
Costa Rica,CRI,North America
Côte d’Ivoire,CIV,Africa
Croatia,HRV,Europe
Cuba,CUB,North America
Curaçao,CUW,North America
Cyprus,CYP,Asia
Czechia,CZE,Europe
Democratic People's Republic of Korea,PRK,Asia
Democratic Republic of the Congo,COD,Africa
Denmark,DNK,Europe
Djibouti,DJI,Africa
Dominica,DMA,North America
Dominican Republic,DOM,North America
Ecuador,ECU,South America
Egypt,EGY,Africa
El Salvador,SLV,North America
Equatorial Guinea,GNQ,Africa
Eritrea,ERI,Africa
Estonia,EST,Europe
Eswatini,SWZ,Africa
Ethiopia,ETH,Africa
Falkland Islands (Malvinas),FLK,South America
Faroe Islands,FRO,Europe
Fiji,FJI,Oceania
Finland,FIN,Europe
France,FRA,Europe
French Guiana,GUF,South America
French Polynesia,PYF,Oceania
French Southern Territories,ATF,Africa
Gabon,GAB,Africa
Gambia,GMB,Africa
Georgia,GEO,Asia
Germany,DEU,Europe
Ghana,GHA,Africa
Gibraltar,GIB,Europe
Greece,GRC,Europe
Greenland,GRL,North America
Grenada,GRD,North America
Guadeloupe,GLP,North America
Guam,GUM,Oceania
Guatemala,GTM,North America
Guernsey,GGY,Europe
Guinea,GIN,Africa
Guinea-Bissau,GNB,Africa
Guyana,GUY,South America
Haiti,HTI,North America
Heard Island and McDonald Islands,HMD,Oceania
Holy See,VAT,Europe
Honduras,HND,North America
Hungary,HUN,Europe
Iceland,ISL,Europe
India,IND,Asia
Indonesia,IDN,Asia
Iran (Islamic Republic of),IRN,Asia
Iraq,IRQ,Asia
Ireland,IRL,Europe
Isle of Man,IMN,Europe
Israel,ISR,Asia
Italy,ITA,Europe
Jamaica,JAM,North America
Japan,JPN,Asia
Jersey,JEY,Europe
Jordan,JOR,Asia
Kazakhstan,KAZ,Asia
Kenya,KEN,Africa
Kiribati,KIR,Oceania
Kuwait,KWT,Asia
Kyrgyzstan,KGZ,Asia
Lao People's Democratic Republic,LAO,Asia
Latvia,LVA,Europe
Lebanon,LBN,Asia
Lesotho,LSO,Africa
Liberia,LBR,Africa
Libya,LBY,Africa
Liechtenstein,LIE,Europe
Lithuania,LTU,Europe
Luxembourg,LUX,Europe
Madagascar,MDG,Africa
Malawi,MWI,Africa
Malaysia,MYS,Asia
Maldives,MDV,Asia
Mali,MLI,Africa
Malta,MLT,Europe
Marshall Islands,MHL,Oceania
Martinique,MTQ,North America
Mauritania,MRT,Africa
Mauritius,MUS,Africa
Mayotte,MYT,Africa
Mexico,MEX,North America
Micronesia (Federated States of),FSM,Oceania
Monaco,MCO,Europe
Mongolia,MNG,Asia
Montenegro,MNE,Europe
Montserrat,MSR,North America
Morocco,MAR,Africa
Mozambique,MOZ,Africa
Myanmar,MMR,Asia
Namibia,NAM,Africa
Nauru,NRU,Oceania
Nepal,NPL,Asia
Netherlands,NLD,Europe
New Caledonia,NCL,Oceania
New Zealand,NZL,Oceania
Nicaragua,NIC,North America
Niger,NER,Africa
Nigeria,NGA,Africa
Niue,NIU,Oceania
Norfolk Island,NFK,Oceania
North Macedonia,MKD,Europe
Northern Mariana Islands,MNP,Oceania
Norway,NOR,Europe
Oman,OMN,Asia
Pakistan,PAK,Asia
Palau,PLW,Oceania
Panama,PAN,North America
Papua New Guinea,PNG,Oceania
Paraguay,PRY,South America
Peru,PER,South America
Philippines,PHL,Asia
Pitcairn,PCN,Oceania
Poland,POL,Europe
Portugal,PRT,Europe
Puerto Rico,PRI,North America
Qatar,QAT,Asia
Republic of Korea,KOR,Asia
Republic of Moldova,MDA,Europe
Réunion,REU,Africa
Romania,ROU,Europe
Russian Federation,RUS,Europe
Rwanda,RWA,Africa
Saint Barthélemy,BLM,North America
Saint Helena,SHN,Africa
Saint Kitts and Nevis,KNA,North America
Saint Lucia,LCA,North America
Saint Martin (French Part),MAF,North America
Saint Pierre and Miquelon,SPM,North America
Saint Vincent and the Grenadines,VCT,North America
Samoa,WSM,Oceania
San Marino,SMR,Europe
Sao Tome and Principe,STP,Africa
Sark,,Europe
Saudi Arabia,SAU,Asia
Senegal,SEN,Africa
Serbia,SRB,Europe
Seychelles,SYC,Africa
Sierra Leone,SLE,Africa
Singapore,SGP,Asia
Sint Maarten (Dutch part),SXM,North America
Slovakia,SVK,Europe
Slovenia,SVN,Europe
Solomon Islands,SLB,Oceania
Somalia,SOM,Africa
South Africa,ZAF,Africa
South Georgia and the South Sandwich Islands,SGS,South America
South Sudan,SSD,Africa
Spain,ESP,Europe
Sri Lanka,LKA,Asia
State of Palestine,PSE,Asia
Sudan,SDN,Africa
Suriname,SUR,South America
Svalbard and Jan Mayen Islands,SJM,Europe
Sweden,SWE,Europe
Switzerland,CHE,Europe
Syrian Arab Republic,SYR,Asia
Tajikistan,TJK,Asia
Thailand,THA,Asia
Timor-Leste,TLS,Asia
Togo,TGO,Africa
Tokelau,TKL,Oceania
Tonga,TON,Oceania
Trinidad and Tobago,TTO,North America
Tunisia,TUN,Africa
Turkey,TUR,Asia
Turkmenistan,TKM,Asia
Turks and Caicos Islands,TCA,North America
Tuvalu,TUV,Oceania
Uganda,UGA,Africa
Ukraine,UKR,Europe
United Arab Emirates,ARE,Asia
United Kingdom of Great Britain and Northern Ireland,GBR,Europe
United Republic of Tanzania,TZA,Africa
United States Minor Outlying Islands,UMI,Oceania
United States of America,USA,North America
United States Virgin Islands,VIR,North America
Uruguay,URY,South America
Uzbekistan,UZB,Asia
Vanuatu,VUT,Oceania
Venezuela (Bolivarian Republic of),VEN,South America
Viet Nam,VNM,Asia
Wallis and Futuna Islands,WLF,Oceania
Western Sahara,ESH,Africa
Yemen,YEM,Asia
Zambia,ZMB,Africa
Zimbabwe,ZWE,Africa
