Country Name,Country Code,Indicator Code,Indicator Name,Date,value,continent
High income,HIC,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1960,2.7390949662729,
High income,HIC,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,2208840.65832772,
High income,HIC,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1960,45.9043448004535,
High income,HIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,1372.00746616065,
High income,HIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,71.397075086826,
High income,HIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,65.6848049743065,
High income,HIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,68.4726435989534,
High income,HIC,SP.POP.TOTL,"Population, total",1960,779313752.0,
Low & middle income,LMY,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1960,0.806109187326652,
Low & middle income,LMY,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,800955.160886226,
Low & middle income,LMY,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,151.695441828928,
Low & middle income,LMY,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,48.5719740471256,
Low & middle income,LMY,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,45.6753917626792,
Low & middle income,LMY,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,47.0383477966382,
Low & middle income,LMY,SP.POP.TOTL,"Population, total",1960,2244700479.0,
Low income,LIC,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,10462.8644410349,
Low income,LIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,41.1254783106766,
Low income,LIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,38.2187715589963,
Low income,LIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,39.6593067083008,
Low income,LIC,SP.POP.TOTL,"Population, total",1960,140853136.0,
Lower middle income,LMC,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,142809.044832673,
Lower middle income,LMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,92.0992194895625,
Lower middle income,LMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,45.8760969721188,
Lower middle income,LMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,44.7162458691836,
Lower middle income,LMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,45.2453909766513,
Lower middle income,LMC,SP.POP.TOTL,"Population, total",1960,988626091.0,
Middle income,MIC,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1960,0.806109187326652,
Middle income,MIC,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,791333.245031171,
Middle income,MIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,155.609665744998,
Middle income,MIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,49.0841687808764,
Middle income,MIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,46.164829530943,
Middle income,MIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,47.5341830169408,
Middle income,MIC,SP.POP.TOTL,"Population, total",1960,2103847343.0,
Upper middle income,UMC,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1960,0.806109187326652,
Upper middle income,UMC,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,641086.361814195,
Upper middle income,UMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,216.951074752025,
Upper middle income,UMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,51.9217086902554,
Upper middle income,UMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,47.4694921898774,
Upper middle income,UMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,49.5772028111847,
Upper middle income,UMC,SP.POP.TOTL,"Population, total",1960,1115221252.0,
High income,HIC,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1961,2.81099383455101,
High income,HIC,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,2318336.10169922,
High income,HIC,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1961,45.7307937255988,
High income,HIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1961,1434.11561616704,
High income,HIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,71.8210981552023,
High income,HIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,66.048222241893,
High income,HIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,68.8652055978987,
High income,HIC,SP.POP.TOTL,"Population, total",1961,789211684.0,
Low & middle income,LMY,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1961,1.00268972278519,
Low & middle income,LMY,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,855703.732001598,
