Country Name,Country Code,Indicator Code,Indicator Name,Date,value,continent
Africa Eastern and Southern,AFE,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,19042.5351795955,
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,162.726325455099,
Africa Eastern and Southern,AFE,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,44.3005705955963,
Africa Eastern and Southern,AFE,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,41.1779584288335,
Africa Eastern and Southern,AFE,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,42.7160525263364,
Africa Eastern and Southern,AFE,SP.POP.TOTL,"Population, total",1960,130836765.0,
Africa Western and Central,AFW,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,6934.297,
Africa Western and Central,AFW,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,107.930721670791,
Africa Western and Central,AFW,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,38.4272321184054,
Africa Western and Central,AFW,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,36.0430283048617,
Africa Western and Central,AFW,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,37.2053802888777,
Africa Western and Central,AFW,SP.POP.TOTL,"Population, total",1960,96396419.0,
Arab World,ARB,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,47036.7650294113,
Arab World,ARB,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,47.6295644788015,
Arab World,ARB,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,45.5047387511082,
Arab World,ARB,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,46.5469091138864,
Arab World,ARB,SP.POP.TOTL,"Population, total",1960,92197715.0,
Caribbean small states,CSS,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,4202.382,
Caribbean small states,CSS,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,448.256417447292,
Caribbean small states,CSS,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,64.5730409722451,
Caribbean small states,CSS,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,60.9199230600621,
Caribbean small states,CSS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,62.746305722896,
Caribbean small states,CSS,SP.POP.TOTL,"Population, total",1960,4194711.0,
Central Europe and the Baltics,CEB,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1960,0.100326004137746,
Central Europe and the Baltics,CEB,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,53016.4083802716,
Central Europe and the Baltics,CEB,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,70.3679563917918,
Central Europe and the Baltics,CEB,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,65.4110454019315,
Central Europe and the Baltics,CEB,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,67.8213886391754,
Central Europe and the Baltics,CEB,SP.POP.TOTL,"Population, total",1960,91401764.0,
East Asia & Pacific,EAS,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1960,5.33305469513249,
East Asia & Pacific,EAS,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,177835.914601683,
East Asia & Pacific,EAS,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,148.423623135968,
