Country Name,Country Code,Indicator Code,Indicator Name,Date,value,continent
Early-demographic dividend,EAR,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1960,0.806109187326652,
Early-demographic dividend,EAR,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,250985.536641263,
Early-demographic dividend,EAR,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,161.165351496177,
Early-demographic dividend,EAR,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,45.5715473120792,
Early-demographic dividend,EAR,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,44.6845550423632,
Early-demographic dividend,EAR,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,45.0908980757071,
Early-demographic dividend,EAR,SP.POP.TOTL,"Population, total",1960,980003345.0,
East Asia & Pacific (excluding high income),EAP,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,56066.3671672669,
East Asia & Pacific (excluding high income),EAP,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,90.9020924082918,
East Asia & Pacific (excluding high income),EAP,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,47.4014193682061,
East Asia & Pacific (excluding high income),EAP,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,44.0058797967344,
East Asia & Pacific (excluding high income),EAP,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,45.6132421081577,
East Asia & Pacific (excluding high income),EAP,SP.POP.TOTL,"Population, total",1960,894885526.0,
East Asia & Pacific (IDA & IBRD countries),TEA,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,55490.2234780271,
East Asia & Pacific (IDA & IBRD countries),TEA,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,91.9411429075229,
East Asia & Pacific (IDA & IBRD countries),TEA,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,47.3094689512563,
East Asia & Pacific (IDA & IBRD countries),TEA,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,43.9542306851511,
East Asia & Pacific (IDA & IBRD countries),TEA,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,45.539740316121,
East Asia & Pacific (IDA & IBRD countries),TEA,SP.POP.TOTL,"Population, total",1960,883445587.0,
Euro area,EMU,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1960,3.81328853071987,
Euro area,EMU,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1960,48.3167076686675,
Euro area,EMU,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,923.187341208548,
Euro area,EMU,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,72.0804892419074,
Euro area,EMU,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,66.6388689398589,
Euro area,EMU,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,69.2905809584246,
Euro area,EMU,SP.POP.TOTL,"Population, total",1960,265203956.0,
Europe & Central Asia (excluding high income),ECA,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1960,0.806109187326652,
Europe & Central Asia (excluding high income),ECA,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,576461.217421855,
Europe & Central Asia (excluding high income),ECA,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,66.9941769935642,
Europe & Central Asia (excluding high income),ECA,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,59.5053610648864,
Europe & Central Asia (excluding high income),ECA,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,63.1815919984247,
Europe & Central Asia (excluding high income),ECA,SP.POP.TOTL,"Population, total",1960,256240323.0,
Europe & Central Asia (IDA & IBRD countries),TEC,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1960,0.216639870347843,
Europe & Central Asia (IDA & IBRD countries),TEC,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,594175.036024662,
Europe & Central Asia (IDA & IBRD countries),TEC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,67.3707500211815,
Europe & Central Asia (IDA & IBRD countries),TEC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,60.3747752427007,
Europe & Central Asia (IDA & IBRD countries),TEC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,63.7949491865653,
Europe & Central Asia (IDA & IBRD countries),TEC,SP.POP.TOTL,"Population, total",1960,308424859.0,
Fragile and conflict affected situations,FCS,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,42330.887605881,
Fragile and conflict affected situations,FCS,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,47.3795937805584,
Fragile and conflict affected situations,FCS,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,43.2090300949081,
Fragile and conflict affected situations,FCS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,45.2413901356551,
Fragile and conflict affected situations,FCS,SP.POP.TOTL,"Population, total",1960,245134016.0,
Heavily indebted poor countries (HIPC),HPC,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,13846.6192411434,
Heavily indebted poor countries (HIPC),HPC,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,107.339917712085,
Heavily indebted poor countries (HIPC),HPC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,41.0126165111179,
Heavily indebted poor countries (HIPC),HPC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,38.5808666446943,
Heavily indebted poor countries (HIPC),HPC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,39.7796570749832,
Heavily indebted poor countries (HIPC),HPC,SP.POP.TOTL,"Population, total",1960,161734348.0,
IBRD only,IBD,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1960,0.216639870347843,
IBRD only,IBD,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,795687.291698227,
IBRD only,IBD,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,170.450503921548,
IBRD only,IBD,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,50.3556431979487,
IBRD only,IBD,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,47.1873825096489,
IBRD only,IBD,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,48.6761407099262,
IBRD only,IBD,SP.POP.TOTL,"Population, total",1960,1919643259.0,
IDA & IBRD total,IBT,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1960,0.216639870347843,
IDA & IBRD total,IBT,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,839101.55477393,
IDA & IBRD total,IBT,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,158.125407493915,
IDA & IBRD total,IBT,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,49.1043976813812,
IDA & IBRD total,IBT,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,46.1294314360334,
IDA & IBRD total,IBT,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,47.5303135773832,
IDA & IBRD total,IBT,SP.POP.TOTL,"Population, total",1960,2299245319.0,
IDA blend,IDB,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,15560.8404868699,
IDA blend,IDB,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,100.203175495542,
IDA blend,IDB,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,44.4181573750759,
IDA blend,IDB,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,42.2030220834103,
IDA blend,IDB,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,43.2509615231813,
IDA blend,IDB,SP.POP.TOTL,"Population, total",1960,120391642.0,
IDA only,IDX,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,26376.3269671223,
IDA only,IDX,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,98.852756858874,
IDA only,IDX,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,42.0412569621897,
IDA only,IDX,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,40.1034463429763,
IDA only,IDX,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,41.036658649269,
IDA only,IDX,SP.POP.TOTL,"Population, total",1960,259210418.0,
IDA total,IDA,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,42802.8417479138,
IDA total,IDA,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,97.2095558435761,
IDA total,IDA,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,42.7847933769876,
IDA total,IDA,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,40.7812205087785,
IDA total,IDA,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,41.7404838483577,
IDA total,IDA,SP.POP.TOTL,"Population, total",1960,379602060.0,
Late-demographic dividend,LTE,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1960,0.488238725178526,
Late-demographic dividend,LTE,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,566313.009423465,
Late-demographic dividend,LTE,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,174.920810623452,
Late-demographic dividend,LTE,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,52.6835619653209,
Late-demographic dividend,LTE,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,48.0527643805002,
Late-demographic dividend,LTE,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,50.2472321728469,
Late-demographic dividend,LTE,SP.POP.TOTL,"Population, total",1960,1096903448.0,
Latin America & Caribbean (excluding high income),LAC,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,162176.742,
Latin America & Caribbean (excluding high income),LAC,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,348.669268639474,
Latin America & Caribbean (excluding high income),LAC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,57.4693692946463,
Latin America & Caribbean (excluding high income),LAC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,53.6218719201261,
Latin America & Caribbean (excluding high income),LAC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,55.4955413631295,
Latin America & Caribbean (excluding high income),LAC,SP.POP.TOTL,"Population, total",1960,195990480.0,
Latin America & the Caribbean (IDA & IBRD countries),TLA,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,176569.717,
Latin America & the Caribbean (IDA & IBRD countries),TLA,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,379.000405390944,
Latin America & the Caribbean (IDA & IBRD countries),TLA,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,57.6708640991754,
